,L2/3 IT CTX Glut,L4/5 IT CTX Glut,L5 IT CTX Glut,L2/3 IT RSP Glut,L4 RSP-ACA Glut,L5 ET CTX Glut,SUB-ProS Glut,CA1-ProS Glut,CA3 Glut,CLA-EPd-CTX Car3 Glut,L5 NP CTX Glut,L6 CT CTX Glut,DG Glut,OB Eomes Ms4a15 Glut,OB-in Frmd7 Gaba,OB-out Frmd7 Gaba,OB Dopa-Gaba,OB-STR-CTX Inh IMN,Sncg Gaba,Lamp5 Gaba,Pvalb Gaba,Sst Gaba,STR D1 Gaba,STR D2 Gaba,ACB-BST-FS D1 Gaba,Astro-TE NN,Oligo NN,OPC NN,OEC NN,Microglia NN
ENSMUSG00000051951.5,1.65,1.83,1.65,1.82,1.55,1.07,1.59,2.04,1.77,1.54,1.90,2.05,1.96,2.02,0.59,1.19,1.62,0.92,1.91,2.39,2.53,2.79,1.58,1.77,1.99,0.09,0.81,1.88,0.06,0.12
ENSMUSG00000089699.1,0.12,0.11,0.09,0.11,0.09,0.05,0.09,0.16,0.15,0.10,0.13,0.14,0.14,0.14,0.03,0.07,0.11,0.05,0.14,0.22,0.21,0.29,0.10,0.12,0.15,0.00,0.03,0.11,0.00,0.00
ENSMUSG00000102331.1,0.23,0.26,0.22,0.23,0.16,0.12,0.22,0.30,0.28,0.19,0.26,0.31,0.25,0.33,0.07,0.13,0.22,0.12,0.28,0.41,0.48,0.58,0.18,0.23,0.31,0.01,0.09,0.25,0.00,0.01
ENSMUSG00000102343.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000025900.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000025902.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000104238.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000104328.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000033845.13,0.16,0.16,0.17,0.16,0.19,0.19,0.18,0.16,0.18,0.17,0.16,0.16,0.15,0.19,0.16,0.14,0.16,0.23,0.18,0.17,0.24,0.18,0.17,0.16,0.16,0.15,0.12,0.14,0.10,0.09
ENSMUSG00000025903.14,0.19,0.23,0.23,0.23,0.26,0.23,0.23,0.17,0.21,0.24,0.17,0.22,0.18,0.36,0.21,0.22,0.29,0.18,0.21,0.21,0.35,0.25,0.13,0.15,0.21,0.29,0.19,0.26,0.23,0.23
