lt_twice_subclass,hmCG_fold_change,mCG_fold_change,mCG_hmCG_fold_change,hmCG_diff,mCG_diff,mCG_hmCG_diff
L2/3 IT CTX Glut,1.13 ,0.95 ,1.01 ,0.03 ,-0.03 ,0.01 
L4/5 IT CTX Glut,1.11 ,0.97 ,1.01 ,0.03 ,-0.02 ,0.01 
L5 IT CTX Glut,1.12 ,0.95 ,1.01 ,0.03 ,-0.03 ,0.01 
IT AON-TT-DP Glut,1.12 ,0.94 ,1.00 ,0.03 ,-0.03 ,0.00 
L2/3 IT RSP Glut,1.10 ,0.97 ,1.02 ,0.03 ,-0.01 ,0.01 
L5 ET CTX Glut,1.09 ,0.96 ,1.01 ,0.03 ,-0.02 ,0.01 
CA1-ProS Glut,1.13 ,0.99 ,1.03 ,0.03 ,-0.01 ,0.03 
CA3 Glut,1.13 ,0.96 ,1.01 ,0.03 ,-0.02 ,0.01 
CLA-EPd-CTX Car3 Glut,1.12 ,0.96 ,1.01 ,0.03 ,-0.02 ,0.01 
L5 NP CTX Glut,1.07 ,0.99 ,1.02 ,0.02 ,0.00 ,0.02 
L6 CT CTX Glut,1.13 ,0.95 ,1.00 ,0.03 ,-0.03 ,0.00 
DG Glut,1.18 ,0.97 ,1.02 ,0.03 ,-0.02 ,0.02 
OB Eomes Ms4a15 Glut,1.17 ,0.96 ,1.02 ,0.04 ,-0.02 ,0.01 
OB-in Frmd7 Gaba,1.22 ,0.98 ,1.03 ,0.04 ,-0.02 ,0.02 
OB-out Frmd7 Gaba,1.13 ,0.99 ,1.02 ,0.02 ,0.00 ,0.02 
Sncg Gaba,1.14 ,0.98 ,1.02 ,0.03 ,-0.01 ,0.02 
Lamp5 Gaba,1.12 ,0.96 ,1.01 ,0.03 ,-0.02 ,0.01 
Pvalb Gaba,1.06 ,0.99 ,1.02 ,0.02 ,-0.01 ,0.01 
STR D1 Gaba,1.08 ,1.00 ,1.02 ,0.01 ,0.00 ,0.01 
STR D2 Gaba,1.11 ,0.99 ,1.02 ,0.02 ,-0.01 ,0.02 
STR D1 Sema5a Gaba,1.13 ,0.96 ,1.01 ,0.03 ,-0.02 ,0.01 
ACB-BST-FS D1 Gaba,1.09 ,0.98 ,1.02 ,0.03 ,-0.01 ,0.01 
Astro-TE NN,1.21 ,0.99 ,1.02 ,0.03 ,-0.01 ,0.02 
Oligo NN,1.16 ,1.01 ,1.03 ,0.02 ,0.01 ,0.02 
OPC NN,1.27 ,1.00 ,1.03 ,0.02 ,0.00 ,0.02 
OEC NN,1.07 ,1.02 ,1.03 ,0.01 ,0.01 ,0.02 
Microglia NN,1.26 ,1.01 ,1.03 ,0.01 ,0.01 ,0.02 
