genebody,chrom,end,start
ENSMUSG00000102693.1,chr1,3074322,3073253
ENSMUSG00000064842.1,chr1,3102125,3102016
ENSMUSG00000051951.5,chr1,3671498,3205901
ENSMUSG00000102851.1,chr1,3253236,3252757
ENSMUSG00000103377.1,chr1,3368549,3365731
ENSMUSG00000104017.1,chr1,3377788,3375556
ENSMUSG00000103025.1,chr1,3467285,3464977
ENSMUSG00000089699.1,chr1,3513553,3466587
ENSMUSG00000103201.1,chr1,3514507,3512451
ENSMUSG00000103147.1,chr1,3532720,3531795
ENSMUSG00000103161.1,chr1,3595903,3592892
ENSMUSG00000102331.1,chr1,3658904,3647309
ENSMUSG00000102348.1,chr1,3681788,3680155
ENSMUSG00000102592.1,chr1,3754360,3752010
ENSMUSG00000088333.2,chr1,3783933,3783876
ENSMUSG00000102343.1,chr1,3986215,3905739
ENSMUSG00000025900.12,chr1,4409241,3999557
ENSMUSG00000102948.1,chr1,4260519,4256234
ENSMUSG00000104123.1,chr1,4364829,4363346
ENSMUSG00000025902.13,chr1,4497354,4490931
ENSMUSG00000104238.1,chr1,4499558,4496551
ENSMUSG00000102269.1,chr1,4526737,4522905
ENSMUSG00000096126.1,chr1,4529123,4529017
ENSMUSG00000103003.1,chr1,4535286,4534837
ENSMUSG00000104328.1,chr1,4586252,4583129
ENSMUSG00000102735.1,chr1,4611406,4610471
ENSMUSG00000098104.1,chr1,4689403,4687934
ENSMUSG00000102175.1,chr1,4693424,4692219
ENSMUSG00000088000.1,chr1,4723379,4723277
ENSMUSG00000103265.1,chr1,4735676,4735046
ENSMUSG00000103922.1,chr1,4772199,4771131
ENSMUSG00000033845.13,chr1,4785739,4773206
ENSMUSG00000102275.1,chr1,4779212,4778063
ENSMUSG00000025903.14,chr1,4848410,4807788
ENSMUSG00000104217.1,chr1,4886770,4807892
ENSMUSG00000033813.15,chr1,4897909,4857814
ENSMUSG00000062588.4,chr1,4880651,4880049
ENSMUSG00000103280.1,chr1,4906861,4905751
ENSMUSG00000002459.17,chr1,5070285,4909576
ENSMUSG00000091305.1,chr1,4927299,4927028
ENSMUSG00000102653.1,chr1,4940710,4938576
ENSMUSG00000085623.1,chr1,4976820,4970857
ENSMUSG00000091665.1,chr1,5064647,5063060
ENSMUSG00000033793.12,chr1,5162529,5070018
ENSMUSG00000104352.1,chr1,5277337,5276106
ENSMUSG00000104046.1,chr1,5310017,5307739
ENSMUSG00000102907.1,chr1,5405578,5403547
ENSMUSG00000025905.13,chr1,5606131,5588466
ENSMUSG00000103936.1,chr1,5618230,5617837
ENSMUSG00000093015.1,chr1,5644745,5644645
ENSMUSG00000103519.1,chr1,5844672,5842874
ENSMUSG00000033774.4,chr1,5917398,5913707
ENSMUSG00000103090.1,chr1,6050045,6048963
ENSMUSG00000025907.14,chr1,6276648,6206197
ENSMUSG00000090031.2,chr1,6215293,6209866
ENSMUSG00000087247.3,chr1,6394731,6359218
ENSMUSG00000103355.1,chr1,6381032,6380394
ENSMUSG00000102706.1,chr1,6383106,6382634
ENSMUSG00000103845.1,chr1,6441296,6429655
ENSMUSG00000033740.17,chr1,6860940,6487231
ENSMUSG00000103329.2,chr1,6864151,6861237
ENSMUSG00000104385.1,chr1,6911222,6910560
ENSMUSG00000102135.1,chr1,6923588,6916559
ENSMUSG00000103282.1,chr1,6929788,6929759
ENSMUSG00000102534.1,chr1,6998541,6998217
ENSMUSG00000102213.1,chr1,7013920,7013762
ENSMUSG00000103629.1,chr1,7037217,7035915
ENSMUSG00000051285.17,chr1,7173628,7088920
ENSMUSG00000098201.1,chr1,7136586,7136199
ENSMUSG00000103509.1,chr1,7152137,7148110
ENSMUSG00000048538.7,chr1,7179037,7177739
ENSMUSG00000103709.1,chr1,7189919,7189742
ENSMUSG00000077244.1,chr1,7265932,7265803
ENSMUSG00000102768.1,chr1,7316462,7315451
ENSMUSG00000097797.6,chr1,7397869,7349406
ENSMUSG00000103498.1,chr1,7411993,7410679
ENSMUSG00000103067.1,chr1,7518149,7497968
ENSMUSG00000102320.1,chr1,7591931,7591646
ENSMUSG00000104226.1,chr1,7599473,7597379
ENSMUSG00000103903.1,chr1,7664961,7664081
ENSMUSG00000103557.1,chr1,7730565,7728861
ENSMUSG00000025909.16,chr1,9299878,8361475
ENSMUSG00000102647.1,chr1,8453491,8450960
ENSMUSG00000086235.1,chr1,8468825,8468426
ENSMUSG00000102253.1,chr1,8531313,8527780
ENSMUSG00000093970.1,chr1,8588724,8588615
ENSMUSG00000103884.1,chr1,8644859,8643696
ENSMUSG00000084353.1,chr1,8792162,8791923
ENSMUSG00000103933.1,chr1,8816039,8815842
ENSMUSG00000076135.1,chr1,8816247,8816138
ENSMUSG00000086195.1,chr1,8856267,8855928
ENSMUSG00000104504.1,chr1,8857102,8856763
ENSMUSG00000066693.2,chr1,8963621,8962996
ENSMUSG00000102316.1,chr1,9192116,9191067
ENSMUSG00000103819.1,chr1,9259134,9258617
ENSMUSG00000102871.1,chr1,9290180,9286922
ENSMUSG00000101571.2,chr1,9398687,9396773
ENSMUSG00000104428.1,chr1,9440376,9439741
ENSMUSG00000102272.1,chr1,9451748,9450579
ENSMUSG00000065625.1,chr1,9458772,9458670
ENSMUSG00000103411.1,chr1,9501522,9499338
ENSMUSG00000061024.8,chr1,9547455,9545408
ENSMUSG00000025911.14,chr1,9580673,9547948
ENSMUSG00000079671.8,chr1,9631175,9560832
ENSMUSG00000081441.3,chr1,9575649,9574548
