,genename,length,group,Cpg_number,log_gene_length,log_CpG,promoter_CpG_number,log_promoter_CpG
1,Scmh1,"124,907",Group1,828,5.1,2.92,65,1.81
2,Fer,"243,478",Group1,"1,731",5.39,3.24,13,1.11
3,Xpo6,"98,788",Group1,788,4.99,2.9,30,1.48
4,Dlat,"25,149",Group1,339,4.4,2.53,44,1.64
5,Ccnd2,"27,033",Group1,488,4.43,2.69,92,1.96
6,Gpr107,"66,461",Group1,800,4.82,2.9,38,1.58
7,Nalcn,"350,512",Group1,"1,861",5.54,3.27,8,0.9
8,Cdh4,"456,944",Group1,"5,578",5.66,3.75,45,1.65
9,Ccm2,"49,859",Group1,630,4.7,2.8,44,1.64
10,Pparg,"129,450",Group1,744,5.11,2.87,30,1.48
11,Tom1l2,"126,193",Group1,"1,159",5.1,3.06,49,1.69
12,Gabra2,"138,254",Group1,735,5.14,2.87,53,1.72
13,Myo18a,"102,736",Group1,"1,642",5.01,3.22,30,1.48
14,Oprm1,"279,694",Group1,"1,740",5.45,3.24,9,0.95
15,Kcnn3,"154,970",Group1,"1,888",5.19,3.28,32,1.51
16,Epn2,"62,440",Group1,498,4.8,2.7,30,1.48
17,Sec24b,"78,796",Group1,"1,119",4.9,3.05,25,1.4
18,Luzp1,"85,021",Group1,604,4.93,2.78,37,1.57
19,Mcm3ap,"46,932",Group1,626,4.67,2.8,47,1.67
20,Gmcl1,"41,617",Group1,417,4.62,2.62,50,1.7
21,Agpat3,"83,313",Group1,"1,029",4.92,3.01,28,1.45
22,Snd1,"460,025",Group1,"4,344",5.66,3.64,14,1.15
23,Ell2,"65,609",Group1,535,4.82,2.73,16,1.2
24,Ergic1,"95,444",Group1,"1,293",4.98,3.11,38,1.58
25,7-Sep,"56,134",Group1,377,4.75,2.58,69,1.84
26,Nup214,"79,541",Group1,864,4.9,2.94,47,1.67
27,Ltbp1,"386,946",Group1,"3,857",5.59,3.59,40,1.6
28,Siae,"93,959",Group1,733,4.97,2.87,11,1.04
29,Grik3,"223,475",Group1,"3,391",5.35,3.53,137,2.14
30,Sipa1l2,"151,747",Group1,"2,061",5.18,3.31,111,2.05
31,Ap4e1,"59,194",Group1,563,4.77,2.75,36,1.56
32,Kmt2a,"77,943",Group1,"1,179",4.89,3.07,135,2.13
33,Ddb2,"25,412",Group1,185,4.41,2.27,33,1.52
34,Ppard,"68,717",Group1,"1,191",4.84,3.08,59,1.77
35,Peg3,"26,541",Group1,364,4.42,2.56,45,1.65
36,Lmf1,"83,654",Group1,"1,179",4.92,3.07,37,1.57
37,Rgs20,"160,711",Group1,"1,221",5.21,3.09,26,1.41
38,Akap8l,"29,158",Group1,356,4.46,2.55,38,1.58
39,Prkd1,"307,869",Group1,"2,172",5.49,3.34,72,1.86
40,Baz1b,"58,867",Group1,621,4.77,2.79,67,1.83
41,Tbc1d8,"107,265",Group1,"1,443",5.03,3.16,40,1.6
42,Slc2a3,"73,833",Group1,967,4.87,2.99,68,1.83
43,Grk5,"202,806",Group1,"1,224",5.31,3.09,27,1.43
44,Dlgap1,"852,342",Group1,"7,566",5.93,3.88,26,1.41
45,Pld3,"21,220",Group1,354,4.33,2.55,49,1.69
46,Grik5,"62,499",Group1,929,4.8,2.97,57,1.76
47,Crtc1,"57,226",Group1,696,4.76,2.84,53,1.72
48,Man1a,"171,826",Group1,"1,468",5.24,3.17,10,1
49,Mast2,"157,423",Group1,"1,085",5.2,3.04,63,1.8
50,Nfat5,"86,049",Group1,487,4.93,2.69,59,1.77
51,Ppfia3,"27,899",Group1,590,4.45,2.77,93,1.97
52,Hlf,"54,361",Group1,850,4.74,2.93,53,1.72
53,Grm3,"239,631",Group1,"1,224",5.38,3.09,49,1.69
54,Ssbp2,"243,148",Group1,"1,912",5.39,3.28,18,1.26
55,Brinp2,"111,059",Group1,994,5.05,3,27,1.43
56,Cacna1e,"493,772",Group1,"3,795",5.69,3.58,40,1.6
57,Cacna1b,"159,267",Group1,"1,582",5.2,3.2,51,1.71
58,Etv1,"91,106",Group1,774,4.96,2.89,65,1.81
59,Pde1c,"499,301",Group1,"3,038",5.7,3.48,28,1.45
60,Utp20,"80,199",Group1,950,4.9,2.98,24,1.38
61,Cul3,"75,559",Group1,497,4.88,2.7,89,1.95
62,Large,"538,943",Group1,"3,551",5.73,3.55,83,1.92
63,Chn2,"262,258",Group1,"2,738",5.42,3.44,33,1.52
64,Hdac9,"869,517",Group1,"5,999",5.94,3.78,22,1.34
65,Srpk1,"34,875",Group1,513,4.54,2.71,38,1.58
66,Prkacb,"83,418",Group1,890,4.92,2.95,61,1.79
67,Chd5,"51,545",Group1,"1,111",4.71,3.05,54,1.73
68,Slc1a2,"132,127",Group1,"1,191",5.12,3.08,37,1.57
69,Eif2ak4,"86,618",Group1,882,4.94,2.95,35,1.54
70,Igf1r,"280,843",Group1,"4,006",5.45,3.6,244,2.39
71,Reep5,"28,528",Group1,446,4.46,2.65,51,1.71
72,Ncoa2,"234,980",Group1,"2,789",5.37,3.45,81,1.91
