"gene_id","gene_name","type","Gene_length","Cpg_number"
"ENSMUSG00000102693.1","RP23-271O17.1","geneslop2k",5070,10
"ENSMUSG00000064842.1","Gm26206","geneslop2k",4110,7
"ENSMUSG00000051951.5","Xkr4","geneslop2k",469598,1110
"ENSMUSG00000102851.1","RP23-317L18.1","geneslop2k",4480,9
"ENSMUSG00000103377.1","RP23-317L18.4","geneslop2k",6819,24
"ENSMUSG00000104017.1","RP23-317L18.3","geneslop2k",6233,8
"ENSMUSG00000103025.1","RP23-115I1.6","geneslop2k",6309,10
"ENSMUSG00000089699.1","RP23-115I1.1","geneslop2k",50967,126
"ENSMUSG00000103201.1","RP23-115I1.5","geneslop2k",6057,16
"ENSMUSG00000103147.1","RP23-115I1.2","geneslop2k",4926,78
"ENSMUSG00000103161.1","RP23-115I1.3","geneslop2k",7012,8
"ENSMUSG00000102331.1","RP23-122M2.3","geneslop2k",15596,32
"ENSMUSG00000102348.1","RP23-122M2.2","geneslop2k",5634,3
"ENSMUSG00000102592.1","RP23-122M2.1","geneslop2k",6351,15
"ENSMUSG00000088333.2","Gm27396","geneslop2k",4058,2
"ENSMUSG00000102343.1","RP23-333I7.1","geneslop2k",84477,114
"ENSMUSG00000025900.12","Rp1","geneslop2k",413685,690
"ENSMUSG00000102948.1","RP23-177A20.1","geneslop2k",8286,35
"ENSMUSG00000104123.1","RP23-391E12.2","geneslop2k",5484,12
"ENSMUSG00000025902.13","Sox17","geneslop2k",10424,306
"ENSMUSG00000104238.1","RP23-285G23.2","geneslop2k",7008,112
"ENSMUSG00000102269.1","RP23-285G23.3","geneslop2k",7833,88
"ENSMUSG00000096126.1","Gm22307","geneslop2k",4107,7
"ENSMUSG00000103003.1","RP23-285G23.4","geneslop2k",4450,13
"ENSMUSG00000104328.1","RP23-37D15.1","geneslop2k",7124,6
"ENSMUSG00000102735.1","RP23-37D15.2","geneslop2k",4936,37
"ENSMUSG00000098104.1","RP23-34E15.1","geneslop2k",5470,87
"ENSMUSG00000102175.1","RP23-34E15.2","geneslop2k",5206,30
"ENSMUSG00000088000.1","Gm25493","geneslop2k",4103,35
"ENSMUSG00000103265.1","RP23-34E15.3","geneslop2k",4631,7
"ENSMUSG00000103922.1","RP23-34E15.4","geneslop2k",5069,60
"ENSMUSG00000033845.13","Mrpl15","geneslop2k",16534,181
"ENSMUSG00000102275.1","RP23-34E15.5","geneslop2k",5150,35
"ENSMUSG00000025903.14","Lypla1","geneslop2k",44623,242
"ENSMUSG00000104217.1","RP24-426M1.3","geneslop2k",82879,454
"ENSMUSG00000033813.15","Tcea1","geneslop2k",44096,237
"ENSMUSG00000062588.4","RP24-426M1.2","geneslop2k",4603,38
"ENSMUSG00000103280.1","RP24-426M1.4","geneslop2k",5111,4
"ENSMUSG00000002459.17","Rgs20","geneslop2k",164710,515
"ENSMUSG00000091305.1","RP24-141F9.1","geneslop2k",4272,17
"ENSMUSG00000102653.1","RP24-141F9.2","geneslop2k",6135,16
"ENSMUSG00000085623.1","AC102242.1","geneslop2k",9964,29
"ENSMUSG00000091665.1","RP24-363O2.1","geneslop2k",5588,14
"ENSMUSG00000033793.12","Atp6v1h","geneslop2k",96512,281
"ENSMUSG00000104352.1","RP23-267J18.11","geneslop2k",5232,31
"ENSMUSG00000104046.1","RP23-267J18.10","geneslop2k",6279,10
"ENSMUSG00000102907.1","RP23-335P21.1","geneslop2k",6032,0
"ENSMUSG00000025905.13","Oprk1","geneslop2k",21666,106
"ENSMUSG00000103936.1","RP23-238E7.2","geneslop2k",4394,4
"ENSMUSG00000093015.1","Gm22463","geneslop2k",4101,8
"ENSMUSG00000103519.1","RP23-354J2.1","geneslop2k",5799,2
"ENSMUSG00000033774.4","Npbwr1","geneslop2k",7692,130
"ENSMUSG00000103090.1","RP23-74E8.1","geneslop2k",5083,6
"ENSMUSG00000025907.14","Rb1cc1","geneslop2k",74452,379
"ENSMUSG00000090031.2","AC139064.2","geneslop2k",9428,151
"ENSMUSG00000087247.3","Fam150a","geneslop2k",39514,222
"ENSMUSG00000103355.1","RP23-76C20.3","geneslop2k",4639,58
"ENSMUSG00000102706.1","RP23-76C20.2","geneslop2k",4473,78
"ENSMUSG00000103845.1","RP23-76C20.4","geneslop2k",15642,150
"ENSMUSG00000033740.17","St18","geneslop2k",377710,856
"ENSMUSG00000103329.2","RP23-299N6.3","geneslop2k",6915,37
"ENSMUSG00000104385.1","RP23-299N6.1","geneslop2k",4663,6
"ENSMUSG00000102135.1","RP23-5K7.4","geneslop2k",11030,31
"ENSMUSG00000103282.1","RP23-76C20.5","geneslop2k",4030,21
"ENSMUSG00000102534.1","RP23-5K7.3","geneslop2k",4325,9
"ENSMUSG00000102213.1","RP23-5K7.2","geneslop2k",4159,0
"ENSMUSG00000103629.1","RP23-5K7.1","geneslop2k",5303,15
"ENSMUSG00000051285.17","Pcmtd1","geneslop2k",88709,420
"ENSMUSG00000098201.1","RP24-149G24.1","geneslop2k",4388,21
"ENSMUSG00000103509.1","WI1-817D1.2","geneslop2k",8028,38
"ENSMUSG00000048538.7","RP23-278C19.3","geneslop2k",5299,51
"ENSMUSG00000103709.1","Nras-ps2","geneslop2k",4178,15
"ENSMUSG00000077244.1","Gm23274","geneslop2k",4130,1
"ENSMUSG00000102768.1","RP23-278C19.1","geneslop2k",5012,15
"ENSMUSG00000097797.6","RP24-263A16.1","geneslop2k",52464,252
"ENSMUSG00000103498.1","RP24-263A16.2","geneslop2k",5315,16
"ENSMUSG00000103067.1","RP24-181G14.2","geneslop2k",24182,26
"ENSMUSG00000102320.1","RP24-181G14.1","geneslop2k",4286,13
"ENSMUSG00000104226.1","RP23-404K2.2","geneslop2k",6095,16
"ENSMUSG00000103903.1","Rps2-ps2","geneslop2k",4881,23
"ENSMUSG00000103557.1","RP23-408B17.1","geneslop2k",5705,11
"ENSMUSG00000025909.16","Sntg1","geneslop2k",942404,1187
"ENSMUSG00000102647.1","RP23-241G23.1","geneslop2k",6532,16
"ENSMUSG00000086235.1","AC102786.2","geneslop2k",4400,23
"ENSMUSG00000102253.1","RP23-311L17.1","geneslop2k",7534,3
"ENSMUSG00000093970.1","Gm23358","geneslop2k",4110,5
"ENSMUSG00000103884.1","RP24-442E5.1","geneslop2k",5164,13
"ENSMUSG00000084353.1","AC163389.1","geneslop2k",4240,19
"ENSMUSG00000103933.1","RP23-397E23.1","geneslop2k",4198,13
"ENSMUSG00000076135.1","Gm24276","geneslop2k",4110,11
"ENSMUSG00000086195.1","AC118192.1","geneslop2k",4340,33
"ENSMUSG00000104504.1","RP23-200C17.1","geneslop2k",4340,32
"ENSMUSG00000066693.2","AC122738.1","geneslop2k",4626,21
"ENSMUSG00000102316.1","RP23-331M15.1","geneslop2k",5050,2
"ENSMUSG00000103819.1","RP23-331M15.2","geneslop2k",4518,10
"ENSMUSG00000102871.1","RP23-411P10.1","geneslop2k",7259,26
"ENSMUSG00000101571.2","RP23-411P10.5","geneslop2k",5915,12
"ENSMUSG00000104428.1","RP23-411P10.3","geneslop2k",4636,12
"ENSMUSG00000102272.1","RP23-411P10.2","geneslop2k",5170,8
"ENSMUSG00000065625.1","Gm24765","geneslop2k",4103,5
"ENSMUSG00000103411.1","RP24-361E12.1","geneslop2k",6185,12
"ENSMUSG00000061024.8","Rrs1","geneslop2k",6048,173
"ENSMUSG00000025911.14","Adhfe1","geneslop2k",36726,275
"ENSMUSG00000079671.8","AC103620.4","geneslop2k",74344,355
"ENSMUSG00000081441.3","AC103620.1","geneslop2k",5102,28
"ENSMUSG00000067879.3","AC103620.3","geneslop2k",29945,180
"ENSMUSG00000099827.1","RP24-219C22.3","geneslop2k",5328,31
"ENSMUSG00000025912.16","Mybl1","geneslop2k",36795,217
"ENSMUSG00000045210.8","Vcpip1","geneslop2k",33761,185
