gene_id,group,mc_type,var_dim,gene_type,Correlation_5mC,new.P.value_5mC,new.P.adjust_5mC,Correlation_5hmC,new.P.value_5hmC,new.P.adjust_5hmC,Correlation_mC_hmC,new.P.value_mC_hmC,new.P.adjust_mC_hmC,gene_name,Gene_length,Cpg_number
ENSMUSG00000000563.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.04 ,0.06 ,0.00 ,0.73 ,0.78 ,Atp5f1,"17,403",183
ENSMUSG00000001521.12,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.08 ,-0.01 ,0.17 ,0.23 ,Tulp3,"34,692",528
ENSMUSG00000001774.8,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.04 ,0.06 ,Chordc1,"25,319",217
ENSMUSG00000002428.12,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.03 ,0.00 ,0.69 ,0.74 ,-0.01 ,0.05 ,0.07 ,Hltf,"60,681",485
ENSMUSG00000002718.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.31 ,0.36 ,-0.01 ,0.10 ,0.13 ,Cse1l,"40,351",444
ENSMUSG00000003226.7,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.14 ,0.18 ,0.00 ,0.99 ,0.99 ,Ranbp2,"47,438",360
ENSMUSG00000003410.8,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.00 ,0.94 ,0.95 ,-0.01 ,0.03 ,0.05 ,Elavl3,"37,020",576
ENSMUSG00000003435.9,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.06 ,0.07 ,0.01 ,0.02 ,0.04 ,-0.01 ,0.28 ,0.34 ,Supt5,"23,857",370
ENSMUSG00000004789.10,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.00 ,0.45 ,0.51 ,-0.01 ,0.15 ,0.20 ,Dlst,"24,014",334
ENSMUSG00000006262.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.00 ,0.59 ,0.64 ,-0.01 ,0.03 ,0.05 ,Mob1b,"43,367",362
ENSMUSG00000006699.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.07 ,0.09 ,0.00 ,0.74 ,0.79 ,Cdc42,"38,026",320
ENSMUSG00000007659.18,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.06 ,0.07 ,0.00 ,0.70 ,0.74 ,-0.01 ,0.03 ,0.04 ,Bcl2l1,"51,062",502
ENSMUSG00000008429.8,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.09 ,0.11 ,0.02 ,0.00 ,0.00 ,0.00 ,0.58 ,0.64 ,Herpud2,"43,690",350
ENSMUSG00000008730.17,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.00 ,0.87 ,0.89 ,-0.01 ,0.09 ,0.13 ,Hipk1,"51,750",615
ENSMUSG00000009079.16,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.02 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.26 ,0.32 ,Ewsr1,"29,579",373
ENSMUSG00000009575.14,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.08 ,0.10 ,-0.01 ,0.05 ,0.08 ,Cbx5,"48,274",373
ENSMUSG00000009739.17,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.05 ,0.06 ,0.02 ,0.00 ,0.00 ,0.00 ,0.67 ,0.73 ,Pou6f1,"24,668",466
ENSMUSG00000010608.15,[5hmCG +],CG,genebody,all_gene,0.00 ,0.79 ,0.81 ,0.01 ,0.02 ,0.03 ,0.01 ,0.11 ,0.15 ,Rbm25,"51,889",448
ENSMUSG00000015747.5,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.05 ,0.08 ,Vps45,"58,636",582
ENSMUSG00000016481.15,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.08 ,0.09 ,0.01 ,0.01 ,0.01 ,0.01 ,0.27 ,0.33 ,Cr1l,"34,206",160
ENSMUSG00000017291.13,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.01 ,0.04 ,0.06 ,-0.01 ,0.15 ,0.20 ,Taok1,"78,655",494
ENSMUSG00000017314.12,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.00 ,0.35 ,0.41 ,-0.01 ,0.04 ,0.06 ,Mpp2,"31,502",543
ENSMUSG00000017485.11,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.06 ,0.07 ,0.01 ,0.01 ,0.02 ,-0.01 ,0.23 ,0.29 ,Top2b,"70,285",423
ENSMUSG00000018160.15,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.00 ,0.36 ,0.42 ,-0.01 ,0.07 ,0.10 ,Med1,"41,141",440
ENSMUSG00000018750.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.01 ,0.17 ,0.21 ,-0.01 ,0.07 ,0.10 ,Zbtb4,"18,113",288
ENSMUSG00000019792.8,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.24 ,0.29 ,0.00 ,0.69 ,0.74 ,Trmt11,"66,526",564
ENSMUSG00000019861.15,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.10 ,0.11 ,0.02 ,0.00 ,0.01 ,0.00 ,0.96 ,0.97 ,Gopc,"46,276",414
ENSMUSG00000019868.16,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.04 ,0.01 ,0.07 ,0.10 ,-0.01 ,0.06 ,0.08 ,Vta1,"50,807",343
ENSMUSG00000019894.14,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.04 ,0.06 ,0.00 ,0.48 ,0.55 ,Slc6a15,"51,596",353
ENSMUSG00000019969.14,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.04 ,0.05 ,-0.01 ,0.05 ,0.07 ,Psen1,"47,049",619
ENSMUSG00000020069.16,[5hmCG -],CG,genebody,all_gene,0.00 ,0.90 ,0.90 ,-0.01 ,0.03 ,0.04 ,0.00 ,0.53 ,0.60 ,Hnrnph3,"9,555",213
ENSMUSG00000020074.7,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.36 ,0.38 ,0.01 ,0.03 ,0.04 ,0.00 ,0.95 ,0.96 ,Ccar1,"48,360",432
ENSMUSG00000020128.15,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.04 ,0.05 ,-0.01 ,0.07 ,0.10 ,Vps54,"81,857",563
ENSMUSG00000020130.9,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.01 ,0.15 ,0.19 ,0.00 ,0.39 ,0.46 ,Tbc1d15,"53,597",645
ENSMUSG00000020255.8,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.11 ,0.15 ,-0.01 ,0.04 ,0.06 ,RP24-227O16.1,"128,286","1,899"
ENSMUSG00000020349.4,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.00 ,0.57 ,0.62 ,-0.01 ,0.06 ,0.09 ,Ppp2ca,"29,099",337
ENSMUSG00000020361.13,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.08 ,0.11 ,-0.01 ,0.13 ,0.18 ,Hspa4,"40,645",418
ENSMUSG00000020402.11,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.03 ,0.01 ,0.36 ,0.42 ,0.00 ,0.67 ,0.73 ,Vdac1,"28,539",410
ENSMUSG00000020451.17,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.11 ,0.15 ,-0.01 ,0.08 ,0.11 ,Limk2,"64,935",831
ENSMUSG00000020457.13,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.04 ,0.00 ,0.38 ,0.43 ,0.00 ,0.50 ,0.57 ,Drg1,"79,057",791
ENSMUSG00000020463.15,[5hmCG -],CG,genebody,all_gene,0.01 ,0.23 ,0.26 ,-0.02 ,0.00 ,0.00 ,0.00 ,0.93 ,0.94 ,Ppp4r3b,"47,909",295
ENSMUSG00000020546.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.05 ,0.06 ,0.00 ,0.48 ,0.55 ,Stxbp4,"161,594","1,643"
ENSMUSG00000020719.14,[5mCG -],CG,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.00 ,0.49 ,0.54 ,-0.01 ,0.08 ,0.11 ,Ddx5,"8,832",232
ENSMUSG00000020794.13,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.04 ,0.06 ,-0.01 ,0.19 ,0.25 ,Ube2g1,"79,200",551
ENSMUSG00000021079.16,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.08 ,0.11 ,-0.01 ,0.13 ,0.17 ,Timm9,"13,513",158
ENSMUSG00000021218.10,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.28 ,0.31 ,0.01 ,0.03 ,0.05 ,0.00 ,0.74 ,0.79 ,Gdi2,"29,810",305
ENSMUSG00000021327.19,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.36 ,0.39 ,0.01 ,0.01 ,0.02 ,0.01 ,0.36 ,0.43 ,Zkscan3,"15,754",137
ENSMUSG00000021413.9,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.22 ,0.24 ,0.01 ,0.33 ,0.39 ,-0.01 ,0.02 ,0.03 ,Prpf4b,"30,764",356
ENSMUSG00000021629.10,[5mCG -],CG,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.05 ,0.07 ,0.00 ,0.42 ,0.50 ,Slc30a5,"30,781",374
ENSMUSG00000021690.10,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.07 ,0.09 ,-0.01 ,0.05 ,0.08 ,Jmy,"69,709",688
ENSMUSG00000021785.8,[5mCG -],CG,genebody,all_gene,-0.01 ,0.04 ,0.05 ,0.01 ,0.33 ,0.39 ,-0.01 ,0.04 ,0.06 ,Ngly1,"62,648",362
ENSMUSG00000021938.12,[5hmCG +],CG,genebody,all_gene,-0.01 ,0.22 ,0.24 ,0.01 ,0.02 ,0.03 ,0.00 ,0.89 ,0.91 ,Pspc1,"57,608",449
ENSMUSG00000021939.8,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.08 ,0.10 ,-0.01 ,0.22 ,0.27 ,-0.02 ,0.00 ,0.00 ,Ctsb,"23,463",277
ENSMUSG00000021952.16,[5mCG -],CG,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.04 ,0.06 ,-0.01 ,0.08 ,0.12 ,Xpo4,"87,911",728
ENSMUSG00000021986.8,[(5mCG+5hmCG) -],CG,genebody,all_gene,-0.01 ,0.16 ,0.18 ,-0.01 ,0.07 ,0.10 ,-0.01 ,0.01 ,0.02 ,Amer2,"14,940",283
