subclass,geneid,DHMR_chr,DHMR_start,DHMR_end,gene_chr,gene_start,gene_end,length,DHMR_region,uniq,diff,DHMR_region_index,sort,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,genename
L2/3 IT CTX Glut,ENSMUSG00000051985,chr1,"136,004,268","136,004,490",chr1,"135,953,578","136,006,342",222,chr1_136004268_136004490,L2/3 IT CTX Glut;chr1_136004268_136004490,0.13,1,"100,000,000,000,000,000,000",0,3.32,0.36,0.06,0,Igfn1
L4/5 IT CTX Glut,ENSMUSG00000036192,chr19,"19,093,152","19,093,642",chr19,"18,930,605","19,111,196",490,chr19_19093152_19093642,L4/5 IT CTX Glut;chr19_19093152_19093642,0.12,2,"10,000,000,000,000,000,000",0,3.55,0.94,0.25,0,Rorb
L5 IT CTX Glut,ENSMUSG00000100851,chr1,"124,571,831","124,572,063",chr1,"124,505,757","124,846,039",232,chr1_124571831_124572063,L5 IT CTX Glut;chr1_124571831_124572063,0.12,1,"1,000,000,000,000,000,000",0,2.20,1.00,0.64,0,RP24-63O23.1
IT AON-TT-DP Glut,ENSMUSG00000027971,chr3,"125,653,958","125,654,402",chr3,"125,404,076","125,728,899",444,chr3_125653958_125654402,IT AON-TT-DP Glut;chr3_125653958_125654402,0.34,1,"100,000,000,000,000,000",0,4.54,0.95,0.27,0,Ndst4
L2/3 IT RSP Glut,ENSMUSG00000047907,chr2,"169,993,235","169,993,579",chr2,"169,633,013","170,071,816",344,chr2_169993235_169993579,L2/3 IT RSP Glut;chr2_169993235_169993579,0.17,1,"10,000,000,000,000,000",0,4.21,1.00,0.40,0,Tshz2
L5 ET CTX Glut,ENSMUSG00000098760,chr4,"124,629,093","124,629,347",chr4,"124,528,924","124,657,169",254,chr4_124629093_124629347,L5 ET CTX Glut;chr4_124629093_124629347,0.18,1,"1,000,000,000,000,000",0,2.58,0.92,0.35,0,RP23-230F2.8
CA1-ProS Glut,ENSMUSG00000097789,chr7,"84,533,755","84,533,982",chr7,"84,528,954","84,583,531",227,chr7_84533755_84533982,CA1-ProS Glut;chr7_84533755_84533982,0.11,1,"100,000,000,000,000",0,4.85,0.73,0.07,0,RP23-121N17.2
CA3 Glut,ENSMUSG00000090272,chr1,"173,906,232","173,906,768",chr1,"173,849,126","173,942,491",536,chr1_173906232_173906768,CA3 Glut;chr1_173906232_173906768,0.16,1,"10,000,000,000,000",0,4.95,0.37,0.03,0,Mndal
CLA-EPd-CTX Car3 Glut,ENSMUSG00000033063,chr13,"64,868,187","64,869,477",chr13,"64,736,182","64,903,955","1,290",chr13_64868187_64869477,CLA-EPd-CTX Car3 Glut;chr13_64868187_64869477,0.28,1,"1,000,000,000,000",0,2.81,0.79,0.19,0,Cntnap3
L6 CT CTX Glut,ENSMUSG00000030047,chr6,"87,521,661","87,521,905",chr6,"87,458,545","87,533,259",244,chr6_87521661_87521905,L6 CT CTX Glut;chr6_87521661_87521905,0.12,1,"100,000,000,000",0,3.75,0.43,0.06,0,Arhgap25
DG Glut,ENSMUSG00000054889,chr13,"38,158,318","38,158,581",chr13,"38,151,294","38,198,577",263,chr13_38158318_38158581,DG Glut;chr13_38158318_38158581,0.16,1,"10,000,000,000",0,5.07,0.38,0.05,0,Dsp
OB Eomes Ms4a15 Glut,ENSMUSG00000055471,chr17,"72,260,650","72,261,669",chr17,"71,869,442","72,603,709","1,019",chr17_72260650_72261669,OB Eomes Ms4a15 Glut;chr17_72260650_72261669,0.25,1,"1,000,000,000",0,3.62,0.85,0.40,0,Alk
OB-in Frmd7 Gaba,ENSMUSG00000011171,chr12,"116,126,461","116,126,672",chr12,"116,077,726","116,146,261",211,chr12_116126461_116126672,OB-in Frmd7 Gaba;chr12_116126461_116126672,0.19,2,"10,000,000,000,100,000,000",0,6.34,0.48,0.04,0,Vipr2
STR D2 Gaba,ENSMUSG00000057719,chr18,"42,130,458","42,131,769",chr18,"42,053,667","42,158,960","1,311",chr18_42130458_42131769,STR D2 Gaba;chr18_42130458_42131769,0.11,1,"100,000",0,5.64,0.71,0.07,0,Sh3rf2
Astro-TE NN,ENSMUSG00000024411,chr18,"15,395,864","15,396,087",chr18,"15,389,394","15,403,684",223,chr18_15395864_15396087,Astro-TE NN;chr18_15395864_15396087,0.11,2,"10,000,000,000,001,000",0,7.81,0.34,0.01,0,Aqp4
Oligo NN,ENSMUSG00000036634,chr7,"30,902,371","30,902,703",chr7,"30,899,176","30,914,873",332,chr7_30902371_30902703,Oligo NN;chr7_30902371_30902703,0.13,1,100,0,8.54,0.43,0.01,0,Mag
OPC NN,ENSMUSG00000021614,chr13,"89,656,222","89,656,543",chr13,"89,655,312","89,742,509",321,chr13_89656222_89656543,OPC NN;chr13_89656222_89656543,0.13,3,"1,010,000,000,000,000,000",0,6.74,0.85,0.09,0,Vcan
Microglia NN,ENSMUSG00000007613,chr4,"47,390,801","47,391,298",chr4,"47,353,222","47,414,931",497,chr4_47390801_47391298,Microglia NN;chr4_47390801_47391298,0.31,1,1,0,7.06,0.68,0.09,0,Tgfbr1
