"gene_id","chromosome","end","start","Cpg_number","Gene_length","gene_name","var_dim"
"ENSMUSG00000000001.4","chr3",108146146,108107279,"434",38868,"Gnai3","genebody"
"ENSMUSG00000000028.15","chr16",18811987,18780446,"304",31542,"Cdc45","genebody"
"ENSMUSG00000000031.16","chr7",142578143,142575528,"66",2616,"H19","genebody"
"ENSMUSG00000000049.11","chr11",108414396,108343353,"858",71044,"Apoh","genebody"
"ENSMUSG00000000056.7","chr11",121255856,121237252,"213",18605,"Narf","genebody"
"ENSMUSG00000000058.6","chr6",17289115,17281184,"96",7932,"Cav2","genebody"
"ENSMUSG00000000078.7","chr13",5870394,5861481,"153",8914,"Klf6","genebody"
"ENSMUSG00000000085.16","chr4",120530186,120405280,"828",124907,"Scmh1","genebody"
"ENSMUSG00000000088.7","chr9",57532426,57521273,"137",11154,"Cox5a","genebody"
"ENSMUSG00000000093.6","chr11",85841948,85832550,"389",9399,"Tbx2","genebody"
"ENSMUSG00000000094.12","chr11",85916097,85886421,"529",29677,"Tbx4","genebody"
"ENSMUSG00000000120.6","chr11",95587735,95568817,"403",18919,"Ngfr","genebody"
"ENSMUSG00000000125.5","chr11",103817957,103774149,"798",43809,"Wnt3","genebody"
"ENSMUSG00000000126.11","chr11",59333552,59306927,"436",26626,"Wnt9a","genebody"
"ENSMUSG00000000127.14","chr17",64139494,63896017,"1731",243478,"Fer","genebody"
"ENSMUSG00000000131.15","chr7",126200501,126101714,"788",98788,"Xpo6","genebody"
"ENSMUSG00000000142.15","chr11",108950783,108920348,"808",30436,"Axin2","genebody"
"ENSMUSG00000000148.17","chr5",140719379,140705010,"225",14370,"Brat1","genebody"
"ENSMUSG00000000149.10","chr5",140830431,140758407,"803",72025,"Gna12","genebody"
"ENSMUSG00000000154.16","chr7",143499334,143473735,"276",25600,"Slc22a18","genebody"
"ENSMUSG00000000157.15","chr16",96443619,96422287,"170",21333,"Itgb2l","genebody"
"ENSMUSG00000000159.15","chr16",96525580,96361667,"1374",163914,"Igsf5","genebody"
"ENSMUSG00000000167.14","chr9",50625000,50617320,"118",7681,"Pih1d2","genebody"
"ENSMUSG00000000168.9","chr9",50659780,50634632,"339",25149,"Dlat","genebody"
"ENSMUSG00000000171.5","chr9",50603812,50596356,"109",7457,"Sdhd","genebody"
"ENSMUSG00000000182.9","chr6",127081408,127072901,"135",8508,"Fgf23","genebody"
"ENSMUSG00000000183.6","chr6",127028187,127015585,"205",12603,"Fgf6","genebody"
"ENSMUSG00000000184.12","chr6",127152193,127125161,"488",27033,"Ccnd2","genebody"
"ENSMUSG00000000194.13","chr2",31218775,31152315,"800",66461,"Gpr107","genebody"
"ENSMUSG00000000197.8","chr14",123627144,123276633,"1861",350512,"Nalcn","genebody"
"ENSMUSG00000000202.9","chr11",114795945,114791216,"165",4730,"Btbd17","genebody"
"ENSMUSG00000000204.16","chr11",83190216,83175185,"135",15032,"Slfn4","genebody"
"ENSMUSG00000000214.11","chr7",142931128,142892751,"357",38378,"Th","genebody"
"ENSMUSG00000000215.11","chr7",142743381,142678655,"282",64727,"Ins2","genebody"
"ENSMUSG00000000216.8","chr7",121768475,121734478,"383",33998,"Scnn1g","genebody"
"ENSMUSG00000000244.17","chr7",143019644,143005045,"113",14600,"Tspan32","genebody"
"ENSMUSG00000000247.11","chr2",38369733,38339280,"749",30454,"Lhx2","genebody"
"ENSMUSG00000000248.16","chr6",128984707,128934380,"334",50328,"Clec2g","genebody"
"ENSMUSG00000000253.13","chr13",45553800,45507443,"657",46358,"Gmpr","genebody"
"ENSMUSG00000000263.15","chr11",55608198,55514237,"883",93962,"Glra1","genebody"
"ENSMUSG00000000275.16","chr11",89020293,88999375,"323",20919,"Trim25","genebody"
"ENSMUSG00000000276.11","chr11",89066850,89035178,"466",31673,"Dgke","genebody"
"ENSMUSG00000000278.10","chr11",88955465,88924019,"429",31447,"Scpep1","genebody"
"ENSMUSG00000000282.12","chr11",74845725,74830919,"433",14807,"Mnt","genebody"
"ENSMUSG00000000290.13","chr10",77565708,77530251,"420",35458,"Itgb2","genebody"
"ENSMUSG00000000295.13","chr10",31328204,31313382,"152",14823,"Hddc2","genebody"
"ENSMUSG00000000296.8","chr10",31445958,31332375,"697",113584,"Tpd52l1","genebody"
"ENSMUSG00000000301.16","chr11",60046489,59970613,"834",75877,"Pemt","genebody"
"ENSMUSG00000000303.12","chr8",106670246,106603350,"879",66897,"Cdh1","genebody"
"ENSMUSG00000000305.12","chr2",179899373,179442430,"5578",456944,"Cdh4","genebody"
"ENSMUSG00000000308.14","chr2",121363737,121357713,"90",6025,"Ckmt1","genebody"
"ENSMUSG00000000317.11","chr11",70229798,70224127,"145",5672,"Bcl6b","genebody"
"ENSMUSG00000000318.16","chr11",70170834,70156196,"184",14639,"Clec10a","genebody"
"ENSMUSG00000000320.10","chr11",70255353,70241456,"216",13898,"Alox12","genebody"
"ENSMUSG00000000325.16","chr16",18407076,18348181,"770",58896,"Arvcf","genebody"
"ENSMUSG00000000326.13","chr16",18426852,18406885,"256",19968,"Comt","genebody"
"ENSMUSG00000000339.14","chr3",116508208,116488962,"258",19247,"Rtca","genebody"
"ENSMUSG00000000340.10","chr3",116549981,116513069,"490",36913,"Dbt","genebody"
"ENSMUSG00000000346.9","chr15",100620761,100615348,"152",5414,"Dazap2","genebody"
"ENSMUSG00000000359.3","chr2",152635198,152626950,"209",8249,"Rem1","genebody"
"ENSMUSG00000000365.9","chr14",56525032,56402580,"699",122453,"Rnf17","genebody"
"ENSMUSG00000000374.8","chr10",78244641,78186724,"665",57918,"Trappc10","genebody"
"ENSMUSG00000000378.15","chr11",6596744,6546886,"630",49859,"Ccm2","genebody"
"ENSMUSG00000000381.10","chr11",6638637,6635481,"36",3157,"Wap","genebody"
"ENSMUSG00000000384.15","chr11",6626067,6615597,"195",10471,"Tbrg4","genebody"
"ENSMUSG00000000385.8","chr16",97611195,97564681,"412",46515,"Tmprss2","genebody"
"ENSMUSG00000000386.15","chr16",97462907,97447034,"79",15874,"Mx1","genebody"
"ENSMUSG00000000392.17","chr2",62574075,62500942,"528",73134,"Fap","genebody"
"ENSMUSG00000000394.15","chr2",62483650,62474529,"90",9122,"Gcg","genebody"
"ENSMUSG00000000399.10","chr6",126849136,126821720,"347",27417,"Ndufa9","genebody"
"ENSMUSG00000000409.14","chr4",129573641,129548343,"381",25299,"Lck","genebody"
"ENSMUSG00000000411.7","chr4",129491022,129489013,"41",2010,"Tssk3","genebody"
"ENSMUSG00000000416.16","chr6",18514843,18366477,"1126",148367,"Cttnbp2","genebody"
"ENSMUSG00000000420.15","chr18",24286818,24205343,"745",81476,"Galnt1","genebody"
"ENSMUSG00000000435.1","chr10",107486134,107482907,"60",3228,"Myf5","genebody"
"ENSMUSG00000000439.9","chr6",115622624,115601901,"226",20724,"Mkrn2","genebody"
"ENSMUSG00000000440.12","chr6",115490399,115360950,"744",129450,"Pparg","genebody"
"ENSMUSG00000000441.17","chr6",115676635,115618066,"508",58570,"Raf1","genebody"
